generation,num_people,num_immigrants,num_children
0,6,6,5
1,17,5,5
2,27,5,8
3,40,8,7
4,55,7,7
5,69,7,9
6,85,9,9
7,103,9,11
8,123,11,12
9,146,12,10
10,168,10,8
11,186,8,15
12,209,15,21
13,245,20,22
14,287,21,21
15,329,20,21
16,370,20,22
17,412,21,26
18,459,25,32
19,516,31,37
20,584,36,42
21,662,41,45
22,748,44,49
23,841,48,56
24,945,55,51
25,1051,50,49
26,1150,48,51
27,1249,50,50
28,1349,49,51
29,1449,50,50
30,1549,49,52
31,1650,51,52
32,1753,51,54
33,1858,53,58
34,1969,56,73
35,2098,71,81
36,2250,79,84
37,2413,82,89
