generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,90,12,34,23,0.03773584905660377,0.10377358490566038,0.3037974683544304,0.8354430379746837,42
1,136,8,38,17,0.05865102639296188,0.12316715542521996,0.31496062992125984,0.6614173228346457,42
2,182,9,62,19,0.07702523240371846,0.13811420982735723,0.3372093023255814,0.6046511627906976,42
3,253,17,84,31,0.10772833723653395,0.15456674473067916,0.38493723849372385,0.5523012552301255,42
4,354,21,113,42,0.13562753036437247,0.17611336032388664,0.4024024024024024,0.5225225225225225,42
5,488,27,114,56,0.16651904340124005,0.2054915854738707,0.4104803493449782,0.5065502183406114,42
6,629,26,117,57,0.18867924528301888,0.23113207547169812,0.4013377926421404,0.4916387959866221,42
7,772,21,127,58,0.19859154929577463,0.25915492957746483,0.3841961852861035,0.5013623978201636,42
8,920,31,103,64,0.22136422136422135,0.2792792792792793,0.3878241262683202,0.4892897406989854,42
9,1054,9,69,37,0.2218137254901961,0.3002450980392157,0.3580613254203759,0.4846686449060336,42
10,1132,10,25,14,0.2291541691661668,0.2987402519496101,0.34507678410117437,0.44986449864498645,42
11,1167,2,10,3,0.2298987492555092,0.29779630732578916,0.33391003460207613,0.43252595155709345,42
12,1179,1,0,1,0.23095238095238094,0.2976190476190476,0.3302127659574468,0.425531914893617,42
